subset_name,row_count,source,source_count,source_family,source_family_count,label_regime,label_regime_count,merge_policy_used,merge_policy_count
strict_exact_clean,330,ATTNSOM,239,,,,,,
strict_exact_clean,330,Peng_external,50,,,,,,
strict_exact_clean,330,MetXBioDB,22,,,,,,
strict_exact_clean,330,Rudik_external,19,,,,,,
strict_exact_clean,330,,,attnsom_family,239,,,,
strict_exact_clean,330,,,peng_family,50,,,,
strict_exact_clean,330,,,metxbiodb_family,22,,,,
strict_exact_clean,330,,,rudik_family,19,,,,
strict_exact_clean,330,,,,,single_exact,207,,
strict_exact_clean,330,,,,,multi_exact,123,,
strict_exact_clean,330,,,,,,,partial_agreement_union,187
strict_exact_clean,330,,,,,,,single_source,79
strict_exact_clean,330,,,,,,,exact_agreement,64
tiered_multisite_eval,194,ATTNSOM,188,,,,,,
tiered_multisite_eval,194,CYP_DBs_external,6,,,,,,
tiered_multisite_eval,194,,,attnsom_family,194,,,,
tiered_multisite_eval,194,,,,,tiered_multisite,194,,
tiered_multisite_eval,194,,,,,,,partial_agreement_union,179
tiered_multisite_eval,194,,,,,,,conflict_preserved,12
tiered_multisite_eval,194,,,,,,,exact_agreement,3
broad_region_aux,92,MetXBioDB,92,,,,,,
broad_region_aux,92,,,metxbiodb_family,92,,,,
broad_region_aux,92,,,,,broad_region,92,,
broad_region_aux,92,,,,,,,single_source,56
broad_region_aux,92,,,,,,,conflict_preserved,36
conflict_audit,469,ATTNSOM,369,,,,,,
conflict_audit,469,MetXBioDB,54,,,,,,
conflict_audit,469,CYP_DBs_external,43,,,,,,
conflict_audit,469,Rudik_external,2,,,,,,
conflict_audit,469,Peng_external,1,,,,,,
conflict_audit,469,,,attnsom_family,412,,,,
conflict_audit,469,,,metxbiodb_family,54,,,,
conflict_audit,469,,,rudik_family,2,,,,
conflict_audit,469,,,peng_family,1,,,,
conflict_audit,469,,,,,tiered_multisite,191,,
conflict_audit,469,,,,,single_exact,124,,
conflict_audit,469,,,,,multi_exact,118,,
conflict_audit,469,,,,,broad_region,36,,
conflict_audit,469,,,,,,,partial_agreement_union,338
conflict_audit,469,,,,,,,conflict_preserved,131
