subset_name,row_count,source,source_count,source_family,source_family_count,label_regime,label_regime_count,merge_policy_used,merge_policy_count
strict_exact_clean,143,ATTNSOM,64,,,,,,
strict_exact_clean,143,Peng_external,50,,,,,,
strict_exact_clean,143,Rudik_external,18,,,,,,
strict_exact_clean,143,MetXBioDB,11,,,,,,
strict_exact_clean,143,,,attnsom_family,64,,,,
strict_exact_clean,143,,,peng_family,50,,,,
strict_exact_clean,143,,,rudik_family,18,,,,
strict_exact_clean,143,,,metxbiodb_family,11,,,,
strict_exact_clean,143,,,,,single_exact,112,,
strict_exact_clean,143,,,,,multi_exact,31,,
strict_exact_clean,143,,,,,,,single_source,79
strict_exact_clean,143,,,,,,,exact_agreement,64
tiered_multisite_eval,194,ATTNSOM,188,,,,,,
tiered_multisite_eval,194,CYP_DBs_external,6,,,,,,
tiered_multisite_eval,194,,,attnsom_family,194,,,,
tiered_multisite_eval,194,,,,,tiered_multisite,194,,
tiered_multisite_eval,194,,,,,,,partial_agreement_union,179
tiered_multisite_eval,194,,,,,,,conflict_preserved,12
tiered_multisite_eval,194,,,,,,,exact_agreement,3
broad_region_aux,92,MetXBioDB,92,,,,,,
broad_region_aux,92,,,metxbiodb_family,92,,,,
broad_region_aux,92,,,,,broad_region,92,,
broad_region_aux,92,,,,,,,single_source,56
broad_region_aux,92,,,,,,,conflict_preserved,36
conflict_audit,469,ATTNSOM,369,,,,,,
conflict_audit,469,MetXBioDB,54,,,,,,
conflict_audit,469,CYP_DBs_external,43,,,,,,
conflict_audit,469,Rudik_external,2,,,,,,
conflict_audit,469,Peng_external,1,,,,,,
conflict_audit,469,,,attnsom_family,412,,,,
conflict_audit,469,,,metxbiodb_family,54,,,,
conflict_audit,469,,,rudik_family,2,,,,
conflict_audit,469,,,peng_family,1,,,,
conflict_audit,469,,,,,tiered_multisite,191,,
conflict_audit,469,,,,,single_exact,124,,
conflict_audit,469,,,,,multi_exact,118,,
conflict_audit,469,,,,,broad_region,36,,
conflict_audit,469,,,,,,,partial_agreement_union,338
conflict_audit,469,,,,,,,conflict_preserved,131
