canonical_smiles,conflict_flags,duplicate_group_id,group_size,inchi_keys,label_regimes,merge_policy_used,output_row_count,site_sets,source_record_ids,sources
C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_f33f2f72f5f36803,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_11c6a65e01cd2c87,3,"[""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[10, 14], [10, 14], [10, 14]]","[""ethinylestradiol"", ""ethinylestradiol"", ""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C/C=C/C[C@@H](C)[C@@H](O)[C@@H]1C(=O)N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_31a5fb124470a857,3,"[""PMATZTZNYRCHOR-UITTWSBISA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[36, 65], [36, 65], [5, 12, 65, 84]]","[""cyclosporine_a"", ""cyclosporine_a"", ""PMATZTZNYRCHOR-UITTWSBISA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](COCCO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_2e3f4dcaa500caa4,3,"[""XZDDMPMZGYEESG-VNHFGJPGSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[57, 61, 85], [57, 61, 85], [57, 61, 78, 85]]","[""sdz_imm_125"", ""sdz_imm_125"", ""XZDDMPMZGYEESG-VNHFGJPGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C/C=C/c1ccccc1,"[""label_regime_mismatch""]",dup_9cf2f9d97ef2535d,3,"[""QROGIFZRVHSFLM-QHHAFSJGSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[3, 4, 5], [3, 4, 5], [3, 4, 5]]","[""trans_phenylpropene"", ""trans_phenylpropene"", ""QROGIFZRVHSFLM-QHHAFSJGSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C/C=C1/C[C@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_96ad7af855a2e266,3,"[""HKODIGSRFALUTA-RCDLFFMESA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[12, 20, 21], [12, 20, 21], [8, 11, 12, 18, 23]]","[""SENECIONINE"", ""SENECIONINE"", ""HKODIGSRFALUTA-RCDLFFMESA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=C(C)[C@@H]1CC=C(C)CC1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_32209c6ddcab279a,3,"[""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[2, 8], [2, 8], [2, 8]]","[""limonene"", ""limonene"", ""XMGQYMWWDOXHJM-SNVBAGLBSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_e4ad3006dae955fb,3,"[""JUVIOZPCNVVQFO-MAODMQOUSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[8, 13, 20, 26, 28], [8, 13, 20, 26, 28], [8, 12, 13, 20, 26, 28]]","[""rotenone"", ""rotenone"", ""JUVIOZPCNVVQFO-MAODMQOUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=C(C)c1ccc(OC)c(CN[C@H]2C3CCN(CC3)[C@@H]2C(c2ccccc2)c2ccccc2)c1,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_824a02821bf20ded,3,"[""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[11, 24], [11, 24], [11, 24]]","[""cj_12_458"", ""cj_12_458"", ""CVTMENNEXOZZEZ-IOWSJCHKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_2e8941c06b9ce69e,3,"[""SVCNNZDUGWLODJ-RAYFHMIRSA-N""]","[""single_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 12, 23], [1, 12, 23], [1, 12, 13, 15, 23]]","[""riddelliine"", ""riddelliine"", ""SVCNNZDUGWLODJ-RAYFHMIRSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@H]2[C@@H](C)/C=C/[C@@H](C)C(C)C,"[""label_regime_mismatch"", ""site_set_mismatch""]",dup_8ec79ccc06356434,3,"[""MECHNRXZTMCUDQ-PXQSPDBHSA-N""]","[""multi_exact"", ""single_exact""]",partial_agreement_union,1,"[[24], [24], [24, 26]]","[""vitamin_d2"", ""vitamin_d2"", ""MECHNRXZTMCUDQ-PXQSPDBHSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@@H](O)[C@H]2C[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C(C)=C/[C@@H]2CC[C@@H](O)[C@H](OC)C2)[C@H](C)[C@@H](O)CC1=O,"[""site_set_mismatch""]",dup_65598a8e73bd1832,3,"[""OKRZOXIQNKYTBL-ZNPYSLGISA-N""]","[""single_exact""]",partial_agreement_union,1,"[[13], [13], [12, 13]]","[""fk_506_M1"", ""fk_506_M1"", ""OKRZOXIQNKYTBL-ZNPYSLGISA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,"[""site_set_mismatch""]",dup_3455576d30141907,3,"[""QJJXYPPXXYFBGM-LFZNUXCKSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[7], [7], [7, 22]]","[""fk_506"", ""fk_506"", ""QJJXYPPXXYFBGM-LFZNUXCKSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]"
