all_labeled_site_atoms,annotation_label_regime,citation,doi,duplicate_group_id,merge_policy_used,output_label_regime,output_row_id,primary_site_atoms,secondary_site_atoms,site_source,source_file,source_record_id,tertiary_site_atoms
"[1, 4]",tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_f33f2f72f5f36803,partial_agreement_union,tiered_multisite,selegiline,[4],[1],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,selegiline,[]
"[1, 4]",tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_f33f2f72f5f36803,partial_agreement_union,tiered_multisite,selegiline,[4],[1],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,selegiline,[]
"[1, 3, 4]",multi_exact,"Benetton et al., Drug Metab. Pharma.,2,78,2007 PMID:17495414",,dup_f33f2f72f5f36803,partial_agreement_union,tiered_multisite,selegiline,"[1, 4]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,MEZLKOACVSPNER-GFCCVEGCSA-N,[]
[8],single_exact,"Verhoeven et al.,Xenobiotica,32,109,2002",,dup_ef3fe37adaf86617,exact_agreement,single_exact,org_30659,[8],[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,org_30659,[]
[8],single_exact,"Verhoeven et al.,Xenobiotica,32,109,2002",,dup_ef3fe37adaf86617,exact_agreement,single_exact,org_30659,[8],[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,org_30659,[]
[8],single_exact,"Verhoeven et al.,Xenobiotica,32,109,2002 PMID: 11871398",,dup_ef3fe37adaf86617,exact_agreement,single_exact,org_30659,[8],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,YJSTYQGZKJHXLN-SSFAQJFESA-N,[]
"[10, 14]",tiered_multisite,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_11c6a65e01cd2c87,partial_agreement_union,tiered_multisite,ethinylestradiol,[14],[10],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/3A4.sdf,ethinylestradiol,[]
"[10, 14]",tiered_multisite,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212",10.1124/dmd.104.000182,dup_11c6a65e01cd2c87,partial_agreement_union,tiered_multisite,ethinylestradiol,[14],[10],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/3A4.sdf,ethinylestradiol,[]
"[10, 14]",multi_exact,"Wang et al., Drug Metab. Dispos. 2004, 32, 1209-1212 PMID: 15304426",,dup_11c6a65e01cd2c87,partial_agreement_union,tiered_multisite,ethinylestradiol,"[10, 14]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,BFPYWIDHMRZLRN-SLHNCBLASA-N,[]
[],unknown,"S. Kariya, S. Isozaki, K. Uchino, T. Suzuki, S. Narimatsu, Biol. Pharm. Bull. 1996, 19, 1511-1514. PMID: 8951176
Zhou, S. F., Zhou, Z. W., Yang, L. P., & Cai, J. P. (2009). Substrates, inducers, inhibitors and structure-activity relationships of human Cytochrome P450 2C9 and implications in drug development. Current medicinal chemistry, 16(27), 3480-3675.",,dup_a91693ee47a0a236,single_source,broad_region,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[],[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,DERZBLKQOCDDDZ-JLHYYAGUSA-N,[]
