all_families_for_molecule,canonical_smiles,conflict_flags,duplicate_group_id,group_size,inchi_keys,label_regimes,merge_policy_used,output_row_count,site_sets,source_record_ids,sources,target_family
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_b685320b95c39a4f,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP1A2
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_866ae8f9a2919610,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_05c75696b11a64a5,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2B6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_6ceb0b9267595ceb,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C19
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""site_set_mismatch""]",dup_edeee78e06e9fef6,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[1], [1], [1, 3]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_b59fc4c6c8f8fe31,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""site_set_mismatch""]",dup_565205ccf414967d,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[1], [1], [1, 3]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_f33f2f72f5f36803,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP1A2"", ""CYP2C19"", ""CYP2C8"", ""CYP2C9"", ""CYP3A4""]",C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,"[""label_regime_mismatch"", ""tier_assignment_mismatch""]",dup_11c6a65e01cd2c87,3,"[""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[10, 14], [10, 14], [10, 14]]","[""ethinylestradiol"", ""ethinylestradiol"", ""BFPYWIDHMRZLRN-SLHNCBLASA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP3A4
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C9"", ""CYP2D6""]",C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,"[""site_set_mismatch""]",dup_ed45bef29eec4a05,3,"[""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[5, 13], [5, 13], [5, 6, 12, 13]]","[""cinnarizine"", ""cinnarizine"", ""DERZBLKQOCDDDZ-JLHYYAGUSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP1A2
