all_families_for_molecule,canonical_smiles,conflict_flags,duplicate_group_id,group_size,inchi_keys,label_regimes,merge_policy_used,output_row_count,site_sets,source_record_ids,sources,target_family
"[""CYP2A6"", ""CYP2B6"", ""CYP2E1""]",BrCCBr,[],dup_feb41a7324ea99fb,3,"[""PAAZPARNPHGIKF-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3]]","[""1_2-dibromoethane"", ""1_2-dibromoethane"", ""PAAZPARNPHGIKF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP2A6"", ""CYP2B6"", ""CYP2E1""]",BrCCBr,[],dup_d81140b8382e3dfc,3,"[""PAAZPARNPHGIKF-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3]]","[""1_2-dibromoethane"", ""1_2-dibromoethane"", ""PAAZPARNPHGIKF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2B6
"[""CYP2A6"", ""CYP2B6"", ""CYP2E1""]",BrCCBr,[],dup_c186de70adc45f16,3,"[""PAAZPARNPHGIKF-UHFFFAOYSA-N""]","[""multi_exact""]",partial_agreement_union,1,"[[0, 1, 2, 3], [0, 1, 2, 3], [0, 1, 2, 3]]","[""1_2-dibromoethane"", ""1_2-dibromoethane"", ""PAAZPARNPHGIKF-UHFFFAOYSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_b685320b95c39a4f,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP1A2
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_866ae8f9a2919610,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2A6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_05c75696b11a64a5,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2B6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_6ceb0b9267595ceb,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C19
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""site_set_mismatch""]",dup_edeee78e06e9fef6,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[1], [1], [1, 3]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2C9
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""label_regime_mismatch"", ""site_set_mismatch"", ""tier_assignment_mismatch""]",dup_b59fc4c6c8f8fe31,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""multi_exact"", ""tiered_multisite""]",partial_agreement_union,1,"[[1, 4], [1, 4], [1, 3, 4]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2D6
"[""CYP1A2"", ""CYP2A6"", ""CYP2B6"", ""CYP2C19"", ""CYP2C9"", ""CYP2D6"", ""CYP2E1"", ""CYP3A4""]",C#CCN(C)[C@H](C)Cc1ccccc1,"[""site_set_mismatch""]",dup_565205ccf414967d,3,"[""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""single_exact""]",partial_agreement_union,1,"[[1], [1], [1, 3]]","[""selegiline"", ""selegiline"", ""MEZLKOACVSPNER-GFCCVEGCSA-N""]","[""ATTNSOM"", ""CYP_DBs_external"", ""MetXBioDB""]",CYP2E1
