all_labeled_site_atoms,annotation_family,annotation_label_regime,citation,doi,duplicate_group_id,enzyme_family,merge_policy_used,output_label_regime,output_row_id,primary_site_atoms,secondary_site_atoms,site_source,source_file,source_record_id,tertiary_site_atoms
"[0, 1, 2, 3]",CYP2A6,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192",10.1016/0009-2797(96)03723-4,dup_feb41a7324ea99fb,CYP2A6,partial_agreement_union,multi_exact,1_2-dibromoethane,"[0, 1, 2, 3]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2A6.sdf,1_2-dibromoethane,[]
"[0, 1, 2, 3]",CYP2A6,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192",10.1016/0009-2797(96)03723-4,dup_feb41a7324ea99fb,CYP2A6,partial_agreement_union,multi_exact,1_2-dibromoethane,"[0, 1, 2, 3]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2A6.sdf,1_2-dibromoethane,[]
"[0, 1, 2, 3]",CYP2A6,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192 PMID:8870687",,dup_feb41a7324ea99fb,CYP2A6,partial_agreement_union,multi_exact,1_2-dibromoethane,"[1, 2]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,PAAZPARNPHGIKF-UHFFFAOYSA-N,[]
"[0, 1, 2, 3]",CYP2B6,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192",10.1016/0009-2797(96)03723-4,dup_d81140b8382e3dfc,CYP2B6,partial_agreement_union,multi_exact,1_2-dibromoethane,"[0, 1, 2, 3]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2B6.sdf,1_2-dibromoethane,[]
"[0, 1, 2, 3]",CYP2B6,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192",10.1016/0009-2797(96)03723-4,dup_d81140b8382e3dfc,CYP2B6,partial_agreement_union,multi_exact,1_2-dibromoethane,"[0, 1, 2, 3]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2B6.sdf,1_2-dibromoethane,[]
"[0, 1, 2, 3]",CYP2B6,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192 PMID:8870687",,dup_d81140b8382e3dfc,CYP2B6,partial_agreement_union,multi_exact,1_2-dibromoethane,"[1, 2]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,PAAZPARNPHGIKF-UHFFFAOYSA-N,[]
"[0, 1, 2, 3]",CYP2E1,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192",10.1016/0009-2797(96)03723-4,dup_c186de70adc45f16,CYP2E1,partial_agreement_union,multi_exact,1_2-dibromoethane,"[0, 1, 2, 3]",[],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/2E1.sdf,1_2-dibromoethane,[]
"[0, 1, 2, 3]",CYP2E1,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192",10.1016/0009-2797(96)03723-4,dup_c186de70adc45f16,CYP2E1,partial_agreement_union,multi_exact,1_2-dibromoethane,"[0, 1, 2, 3]",[],CYP_DBs_external,/Users/deepika/Desktop/books/enzyme_Software/CYP_DBs/2E1.sdf,1_2-dibromoethane,[]
"[0, 1, 2, 3]",CYP2E1,multi_exact,"Wormhoudt et al., Chemico-Biological Interactions, 1996, 101,175-192 PMID:8870687",,dup_c186de70adc45f16,CYP2E1,partial_agreement_union,multi_exact,1_2-dibromoethane,"[1, 2]",[],MetXBioDB,/Users/deepika/Desktop/books/enzyme_Software/metxbio data.cleaned.sdf,PAAZPARNPHGIKF-UHFFFAOYSA-N,[]
"[1, 4]",CYP1A2,tiered_multisite,"Benetton et al., Drug Metab. Pharma.,2,78,2007",10.2133/dmpk.22.78,dup_b685320b95c39a4f,CYP1A2,partial_agreement_union,tiered_multisite,selegiline,[4],[1],ATTNSOM,/Users/deepika/Desktop/books/enzyme_Software/data/ATTNSOM/cyp_dataset/1A2.sdf,selegiline,[]
