family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP2C9,,,,,168,ATTNSOM,148,,,strict_exact_clean
CYP2C9,,,,,168,MetXBioDB,20,,,strict_exact_clean
CYP2C9,,,,,168,,,attnsom_family,148,strict_exact_clean
CYP2C9,,,,,168,,,metxbiodb_family,20,strict_exact_clean
CYP2C9,single_exact,119,,,168,,,,,strict_exact_clean
CYP2C9,multi_exact,49,,,168,,,,,strict_exact_clean
CYP2C9,,,91,partial_agreement_union,168,,,,,strict_exact_clean
CYP2C9,,,60,exact_agreement,168,,,,,strict_exact_clean
CYP2C9,,,17,single_source,168,,,,,strict_exact_clean
CYP2C9,,,,,61,ATTNSOM,60,,,tiered_multisite_eval
CYP2C9,,,,,61,CYP_DBs_external,1,,,tiered_multisite_eval
CYP2C9,,,,,61,,,attnsom_family,61,tiered_multisite_eval
CYP2C9,tiered_multisite,61,,,61,,,,,tiered_multisite_eval
CYP2C9,,,58,partial_agreement_union,61,,,,,tiered_multisite_eval
CYP2C9,,,2,conflict_preserved,61,,,,,tiered_multisite_eval
CYP2C9,,,1,exact_agreement,61,,,,,tiered_multisite_eval
CYP2C9,,,,,14,MetXBioDB,14,,,broad_region_aux
CYP2C9,,,,,14,,,metxbiodb_family,14,broad_region_aux
CYP2C9,broad_region,14,,,14,,,,,broad_region_aux
CYP2C9,,,14,conflict_preserved,14,,,,,broad_region_aux
CYP2C9,,,,,263,ATTNSOM,211,,,conflict_audit
CYP2C9,,,,,263,MetXBioDB,36,,,conflict_audit
CYP2C9,,,,,263,CYP_DBs_external,16,,,conflict_audit
CYP2C9,,,,,263,,,attnsom_family,227,conflict_audit
CYP2C9,,,,,263,,,metxbiodb_family,36,conflict_audit
CYP2C9,single_exact,123,,,263,,,,,conflict_audit
CYP2C9,multi_exact,65,,,263,,,,,conflict_audit
CYP2C9,tiered_multisite,61,,,263,,,,,conflict_audit
CYP2C9,broad_region,14,,,263,,,,,conflict_audit
CYP2C9,,,149,partial_agreement_union,263,,,,,conflict_audit
CYP2C9,,,49,exact_agreement,263,,,,,conflict_audit
CYP2C9,,,48,conflict_preserved,263,,,,,conflict_audit
CYP2C9,,,17,single_source,263,,,,,conflict_audit
