family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP2E1,,,,,107,ATTNSOM,95,,,strict_exact_clean
CYP2E1,,,,,107,MetXBioDB,12,,,strict_exact_clean
CYP2E1,,,,,107,,,attnsom_family,95,strict_exact_clean
CYP2E1,,,,,107,,,metxbiodb_family,12,strict_exact_clean
CYP2E1,single_exact,71,,,107,,,,,strict_exact_clean
CYP2E1,multi_exact,36,,,107,,,,,strict_exact_clean
CYP2E1,,,67,partial_agreement_union,107,,,,,strict_exact_clean
CYP2E1,,,29,exact_agreement,107,,,,,strict_exact_clean
CYP2E1,,,11,single_source,107,,,,,strict_exact_clean
CYP2E1,,,,,38,ATTNSOM,35,,,tiered_multisite_eval
CYP2E1,,,,,38,CYP_DBs_external,3,,,tiered_multisite_eval
CYP2E1,,,,,38,,,attnsom_family,38,tiered_multisite_eval
CYP2E1,tiered_multisite,38,,,38,,,,,tiered_multisite_eval
CYP2E1,,,31,partial_agreement_union,38,,,,,tiered_multisite_eval
CYP2E1,,,6,conflict_preserved,38,,,,,tiered_multisite_eval
CYP2E1,,,1,exact_agreement,38,,,,,tiered_multisite_eval
CYP2E1,,,,,16,MetXBioDB,16,,,broad_region_aux
CYP2E1,,,,,16,,,metxbiodb_family,16,broad_region_aux
CYP2E1,broad_region,16,,,16,,,,,broad_region_aux
CYP2E1,,,16,conflict_preserved,16,,,,,broad_region_aux
CYP2E1,,,,,181,ATTNSOM,135,,,conflict_audit
CYP2E1,,,,,181,MetXBioDB,29,,,conflict_audit
CYP2E1,,,,,181,CYP_DBs_external,17,,,conflict_audit
CYP2E1,,,,,181,,,attnsom_family,152,conflict_audit
CYP2E1,,,,,181,,,metxbiodb_family,29,conflict_audit
CYP2E1,single_exact,69,,,181,,,,,conflict_audit
CYP2E1,multi_exact,58,,,181,,,,,conflict_audit
CYP2E1,tiered_multisite,38,,,181,,,,,conflict_audit
CYP2E1,broad_region,16,,,181,,,,,conflict_audit
CYP2E1,,,89,partial_agreement_union,181,,,,,conflict_audit
CYP2E1,,,51,conflict_preserved,181,,,,,conflict_audit
CYP2E1,,,30,exact_agreement,181,,,,,conflict_audit
CYP2E1,,,11,single_source,181,,,,,conflict_audit
