family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP2C19,,,,,62,ATTNSOM,49,,,strict_exact_clean
CYP2C19,,,,,62,MetXBioDB,13,,,strict_exact_clean
CYP2C19,,,,,62,,,attnsom_family,49,strict_exact_clean
CYP2C19,,,,,62,,,metxbiodb_family,13,strict_exact_clean
CYP2C19,single_exact,45,,,62,,,,,strict_exact_clean
CYP2C19,multi_exact,17,,,62,,,,,strict_exact_clean
CYP2C19,,,49,exact_agreement,62,,,,,strict_exact_clean
CYP2C19,,,13,single_source,62,,,,,strict_exact_clean
CYP2C19,,,,,60,ATTNSOM,59,,,tiered_multisite_eval
CYP2C19,,,,,60,CYP_DBs_external,1,,,tiered_multisite_eval
CYP2C19,,,,,60,,,attnsom_family,60,tiered_multisite_eval
CYP2C19,tiered_multisite,60,,,60,,,,,tiered_multisite_eval
CYP2C19,,,58,partial_agreement_union,60,,,,,tiered_multisite_eval
CYP2C19,,,2,conflict_preserved,60,,,,,tiered_multisite_eval
CYP2C19,,,,,13,MetXBioDB,13,,,broad_region_aux
CYP2C19,,,,,13,,,metxbiodb_family,13,broad_region_aux
CYP2C19,broad_region,13,,,13,,,,,broad_region_aux
CYP2C19,,,13,conflict_preserved,13,,,,,broad_region_aux
CYP2C19,,,,,259,ATTNSOM,212,,,conflict_audit
CYP2C19,,,,,259,MetXBioDB,33,,,conflict_audit
CYP2C19,,,,,259,CYP_DBs_external,14,,,conflict_audit
CYP2C19,,,,,259,,,attnsom_family,226,conflict_audit
CYP2C19,,,,,259,,,metxbiodb_family,33,conflict_audit
CYP2C19,single_exact,118,,,259,,,,,conflict_audit
CYP2C19,multi_exact,68,,,259,,,,,conflict_audit
CYP2C19,tiered_multisite,60,,,259,,,,,conflict_audit
CYP2C19,broad_region,13,,,259,,,,,conflict_audit
CYP2C19,,,155,partial_agreement_union,259,,,,,conflict_audit
CYP2C19,,,49,exact_agreement,259,,,,,conflict_audit
CYP2C19,,,42,conflict_preserved,259,,,,,conflict_audit
CYP2C19,,,13,single_source,259,,,,,conflict_audit
