family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP2D6,,,,,60,ATTNSOM,43,,,strict_exact_clean
CYP2D6,,,,,60,MetXBioDB,17,,,strict_exact_clean
CYP2D6,,,,,60,,,attnsom_family,43,strict_exact_clean
CYP2D6,,,,,60,,,metxbiodb_family,17,strict_exact_clean
CYP2D6,single_exact,43,,,60,,,,,strict_exact_clean
CYP2D6,multi_exact,17,,,60,,,,,strict_exact_clean
CYP2D6,,,43,exact_agreement,60,,,,,strict_exact_clean
CYP2D6,,,17,single_source,60,,,,,strict_exact_clean
CYP2D6,,,,,72,ATTNSOM,71,,,tiered_multisite_eval
CYP2D6,,,,,72,CYP_DBs_external,1,,,tiered_multisite_eval
CYP2D6,,,,,72,,,attnsom_family,72,tiered_multisite_eval
CYP2D6,tiered_multisite,72,,,72,,,,,tiered_multisite_eval
CYP2D6,,,69,partial_agreement_union,72,,,,,tiered_multisite_eval
CYP2D6,,,2,conflict_preserved,72,,,,,tiered_multisite_eval
CYP2D6,,,1,exact_agreement,72,,,,,tiered_multisite_eval
CYP2D6,,,,,15,MetXBioDB,15,,,broad_region_aux
CYP2D6,,,,,15,,,metxbiodb_family,15,broad_region_aux
CYP2D6,broad_region,15,,,15,,,,,broad_region_aux
CYP2D6,,,15,conflict_preserved,15,,,,,broad_region_aux
CYP2D6,,,,,318,ATTNSOM,254,,,conflict_audit
CYP2D6,,,,,318,MetXBioDB,44,,,conflict_audit
CYP2D6,,,,,318,CYP_DBs_external,20,,,conflict_audit
CYP2D6,,,,,318,,,attnsom_family,274,conflict_audit
CYP2D6,,,,,318,,,metxbiodb_family,44,conflict_audit
CYP2D6,single_exact,146,,,318,,,,,conflict_audit
CYP2D6,multi_exact,85,,,318,,,,,conflict_audit
CYP2D6,tiered_multisite,72,,,318,,,,,conflict_audit
CYP2D6,broad_region,15,,,318,,,,,conflict_audit
CYP2D6,,,200,partial_agreement_union,318,,,,,conflict_audit
CYP2D6,,,60,conflict_preserved,318,,,,,conflict_audit
CYP2D6,,,41,exact_agreement,318,,,,,conflict_audit
CYP2D6,,,17,single_source,318,,,,,conflict_audit
