family,label_regime,label_regime_count,merge_policy_count,merge_policy_used,row_count,source,source_count,source_family,source_family_count,subset_name
CYP3A4,,,,,145,ATTNSOM,65,,,strict_exact_clean
CYP3A4,,,,,145,Peng_external,50,,,strict_exact_clean
CYP3A4,,,,,145,Rudik_external,19,,,strict_exact_clean
CYP3A4,,,,,145,MetXBioDB,11,,,strict_exact_clean
CYP3A4,,,,,145,,,attnsom_family,65,strict_exact_clean
CYP3A4,,,,,145,,,peng_family,50,strict_exact_clean
CYP3A4,,,,,145,,,rudik_family,19,strict_exact_clean
CYP3A4,,,,,145,,,metxbiodb_family,11,strict_exact_clean
CYP3A4,single_exact,114,,,145,,,,,strict_exact_clean
CYP3A4,multi_exact,31,,,145,,,,,strict_exact_clean
CYP3A4,,,80,single_source,145,,,,,strict_exact_clean
CYP3A4,,,65,exact_agreement,145,,,,,strict_exact_clean
CYP3A4,,,,,194,ATTNSOM,188,,,tiered_multisite_eval
CYP3A4,,,,,194,CYP_DBs_external,6,,,tiered_multisite_eval
CYP3A4,,,,,194,,,attnsom_family,194,tiered_multisite_eval
CYP3A4,tiered_multisite,194,,,194,,,,,tiered_multisite_eval
CYP3A4,,,179,partial_agreement_union,194,,,,,tiered_multisite_eval
CYP3A4,,,12,conflict_preserved,194,,,,,tiered_multisite_eval
CYP3A4,,,3,exact_agreement,194,,,,,tiered_multisite_eval
CYP3A4,,,,,36,MetXBioDB,36,,,broad_region_aux
CYP3A4,,,,,36,,,metxbiodb_family,36,broad_region_aux
CYP3A4,broad_region,36,,,36,,,,,broad_region_aux
CYP3A4,,,36,conflict_preserved,36,,,,,broad_region_aux
CYP3A4,,,,,545,ATTNSOM,434,,,conflict_audit
CYP3A4,,,,,545,MetXBioDB,64,,,conflict_audit
CYP3A4,,,,,545,CYP_DBs_external,43,,,conflict_audit
CYP3A4,,,,,545,Rudik_external,3,,,conflict_audit
CYP3A4,,,,,545,Peng_external,1,,,conflict_audit
CYP3A4,,,,,545,,,attnsom_family,477,conflict_audit
CYP3A4,,,,,545,,,metxbiodb_family,64,conflict_audit
CYP3A4,,,,,545,,,rudik_family,3,conflict_audit
CYP3A4,,,,,545,,,peng_family,1,conflict_audit
CYP3A4,tiered_multisite,193,,,545,,,,,conflict_audit
CYP3A4,single_exact,181,,,545,,,,,conflict_audit
CYP3A4,multi_exact,135,,,545,,,,,conflict_audit
CYP3A4,broad_region,36,,,545,,,,,conflict_audit
CYP3A4,,,352,partial_agreement_union,545,,,,,conflict_audit
CYP3A4,,,131,conflict_preserved,545,,,,,conflict_audit
CYP3A4,,,50,exact_agreement,545,,,,,conflict_audit
CYP3A4,,,12,single_source,545,,,,,conflict_audit
